score,open_hours_week,binned_score,coded_size,coded_review_counts,coded_price,num_photos,is_bus_web,is_phone_number,is_message_bus,num_attributes,num_questions,polarity,subjectivity,binned_score_y
3.0,25.0,high,2,24.0,2,38.0,1,1,1,22.0,0.0,0.31204335465529504,0.5928760957119165,2
3.0,25.0,high,2,24.0,2,38.0,1,1,1,22.0,0.0,0.31204335465529504,0.5928760957119165,2
4.0,62.5,high,0,1346.0,1,1128.0,1,1,0,20.0,40.0,0.2216188063308779,0.5055328631941536,2
4.0,62.5,high,2,1346.0,1,1128.0,1,1,0,20.0,40.0,0.2216188063308779,0.5055328631941536,2
4.0,77.0,high,0,669.7657657657658,1,0.0,0,1,0,3.0,0.0,0.0,0.0,2
4.5,49.0,high,0,837.0,1,765.0,1,1,0,13.0,26.0,0.3696509888108248,0.613966952901379,2
4.5,77.0,high,0,89.0,1,148.0,1,1,0,25.0,0.0,0.34867005416721336,0.6292750557523287,2
4.0,77.0,high,1,2085.0,2,3221.0,1,1,0,34.0,14.0,0.20383555356116323,0.5633859207639693,2
4.5,84.0,high,0,48.0,0,61.0,1,1,1,13.0,0.0,0.3271256087662337,0.5732226107226106,2
4.5,56.5,high,1,848.0,1,1369.0,0,1,0,19.0,5.0,0.2918499544626593,0.5094444444444444,2
4.5,56.5,high,1,848.0,1,1369.0,0,1,0,19.0,5.0,0.2918499544626593,0.5094444444444444,2
4.0,56.0,high,0,380.0,1,309.0,1,1,0,17.0,0.0,0.26118402214105335,0.6163665674603176,2
4.0,56.0,high,0,380.0,1,309.0,1,1,0,17.0,0.0,0.26118402214105335,0.6163665674603176,2
4.0,85.0,high,1,491.0,1,341.0,1,1,0,23.0,0.0,0.06406909063159062,0.5586702186702188,2
4.0,65.9294813466788,high,2,3459.0,1,6992.0,1,1,0,31.0,90.0,0.25943684291898594,0.5719934034219747,2
4.5,46.5,high,0,359.0,1,374.0,1,1,0,20.0,5.0,0.11867416566884652,0.5907619921449709,2
4.0,46.0,medium,2,2510.0,2,3421.0,1,1,0,35.0,9.0,0.30614778428249934,0.637788581596872,1
4.0,27.5,high,0,763.0,1,791.0,1,1,0,26.0,12.0,0.2577644743689826,0.5812057186893251,2
4.0,60.0,high,0,155.0,0,158.0,1,1,1,19.0,0.0,0.03367639157532775,0.5394471722131297,2
4.5,52.0,high,0,743.0,1,777.0,1,1,0,22.0,2.0,0.2838314855204169,0.5884429904277232,2
4.5,48.5,medium,0,285.0,0,302.0,1,1,0,24.0,0.0,0.3155771185884823,0.6064902269447723,1
4.0,52.0,high,0,367.0,0,281.0,1,1,0,24.0,3.0,0.16328715500392718,0.5918786417520595,2
3.5,65.9294813466788,high,2,828.0,1,640.0,0,1,0,24.0,5.0,0.22966898954703827,0.5378706929926445,2
4.0,77.0,high,1,386.0,1,250.0,1,1,0,22.0,4.0,0.22231247201074786,0.5742275795724071,2
4.5,65.9294813466788,high,2,889.0,1,475.0,1,1,0,26.0,53.0,0.24056935847786748,0.5140236587375144,2
4.5,65.9294813466788,high,2,889.0,1,475.0,1,1,0,26.0,53.0,0.24056935847786748,0.5140236587375144,2
5.0,35.5,high,0,718.0,1,1697.0,1,1,0,9.0,13.0,0.31565845488836586,0.605583028083028,2
3.5,47.25,high,0,72.0,0,55.0,1,1,1,28.0,0.0,0.1733197709463532,0.5703556359252562,2
4.0,59.0,medium,0,384.0,1,381.0,1,1,0,24.0,0.0,0.13287515080547868,0.5496233411397347,1
